# Video: P02-20240210-122334
# Narrations: 312
# Format: narration_id | timestamp | narration
#===========================================================

P02-20240210-122334-1 | 2.26s | Pick up both plates that were used for eating with the left and right hand from the tabletop.
P02-20240210-122334-2 | 7.84s | Place the plate in the right hand onto the countertop to free up the right hand.
P02-20240210-122334-4 | 9.76s | Pick up the crisp packets and the empty packets for the frangipans from the top of the plate using both hands.
P02-20240210-122334-3 | 10.05s | Place the plate in the left hand onto the countertop to tidy up.
P02-20240210-122334-5 | 13.83s | Open the bin in the left hand to throw away the rubbish.
P02-20240210-122334-6 | 14.58s | Place the rubbish packets into the bin using the right hand.
P02-20240210-122334-7 | 14.90s | close the bin lid with the left hand
P02-20240210-122334-8 | 16.64s | Pick up the measuring jug and the fork that have been soaking in the sink so that the washing up bowl can lie flat within the sink.
P02-20240210-122334-9 | 18.13s | tip out the remaining liquid from the measuring jug into the sink making sure it doesn't go into the washing up bowl
P02-20240210-122334-10 | 19.89s | place the measuring jug next to the sink ready to be washed up with both hands
P02-20240210-122334-11 | 20.19s | place the fork inside the measuring jug, tines face down, so that it doesn't dirty the countertop.
P02-20240210-122334-12 | 21.27s | Move the spatula out of the way of the sink slightly using the left hand.
P02-20240210-122334-13 | 21.59s | Lift up the washing up bowl using the right hand and pour out the contents so that it can be filled with fresh clean water for washing up.
P02-20240210-122334-14 | 22.37s | Turn on the hot water tap using the left hand.
P02-20240210-122334-15 | 23.75s | move the tap out of the way to the left hand side of the sink
P02-20240210-122334-16 | 24.50s | Scrape away some stuck-on food onto the bottom of the sink using the left hand.
P02-20240210-122334-17 | 26.40s | Rinse off the left hand that was used to scrape off the food and briefly check the temperature of the water.
P02-20240210-122334-18 | 26.83s | Move the tap of running water further out of the way of the washing up bowl when it is placed in the sink.
P02-20240210-122334-19 | 27.09s | Place the washing up bowl against the side of the sink using the right hand.
P02-20240210-122334-20 | 28.14s | lift up the washing up liquid using the left hand to pour some into the bowl
P02-20240210-122334-21 | 29.11s | squeeze the washing up liquid bottle to put some into the washing up bowl in the right hand.
P02-20240210-122334-22 | 31.29s | place the washing up liquid bottle back on the counter top
P02-20240210-122334-23 | 32.22s | check the temperature of the water using the left hand to see if it is hot enough yet
P02-20240210-122334-24 | 35.46s | Move the tap slightly closer to the center of the sink so that it doesn't splash too much.
P02-20240210-122334-25 | 35.61s | Check the temperature of the water using the left hand to see if it's hot enough to start filling up the washing up bowl.
P02-20240210-122334-26 | 56.43s | Place the washing up bowl fully within the sink, now that the temperature of the water is hot enough.
