# Video: P06-20240511-121048
# Narrations: 168
# Format: narration_id | timestamp | narration
#===========================================================

P06-20240511-121048-1 | 7.36s | using right hand picking up a spatula from the crockery tray and switching it to the left hand
P06-20240511-121048-2 | 8.90s | using right hand picking up a knife from the crockery tray and switching it to the left hand
P06-20240511-121048-3 | 10.19s | using right hand picking up a spatula from the crockery and switching it to the left hand
P06-20240511-121048-4 | 11.44s | using right hand picking up all the spoons from the crockery tray
P06-20240511-121048-5 | 15.20s | Using right hand, placing the spatula in the spatula stand that is placed on the tabletop.
P06-20240511-121048-6 | 19.54s | Using right hand, placing the spatula in the spatula stand that is placed on the tabletop.
P06-20240511-121048-7 | 21.38s | using left hand placing the knife in the knife stand that is placed on the tabletop
P06-20240511-121048-8 | 23.52s | using left hand opening the drawer while holding spoons in the right hand
P06-20240511-121048-9 | 26.47s | using both hands separating the spoons
P06-20240511-121048-10 | 28.22s | using both hands placing the spoon in the spoon tray that is placed in the drawer
P06-20240511-121048-11 | 31.68s | using right hand closing the drawer
P06-20240511-121048-12 | 35.84s | using right hand picking up the lid of the pressure cooker from the crockery tray and switching it to the left hand
P06-20240511-121048-13 | 37.42s | using right hand picking up the pressure cooker from the crockery tray.
P06-20240511-121048-14 | 41.53s | using right hand placing the pressure cooker on the tabletop and using left hand placing its lid on the mouth of the pressure cooker
P06-20240511-121048-15 | 43.89s | using right hand picking up both the pressure cooker and the lid from the tabletop
P06-20240511-121048-16 | 45.10s | using left hand opening the cabinet door
P06-20240511-121048-17 | 46.19s | using right hand placing the pressure cooker inside the cabinet
P06-20240511-121048-18 | 52.44s | using left hand closing the cabinet door
P06-20240511-121048-19 | 55.08s | using right hand picking up a glass from the crockery tray and placing it on the tabletop
P06-20240511-121048-20 | 56.89s | using left hand picking up a bowl from the crockery tray while using right hand picking up a mug from the crockery tray.
P06-20240511-121048-21 | 58.17s | using right hand placing the mug on the tabletop while holding the bowl in left hand
