# Video: P09-20240623-153253
# Narrations: 237
# Format: narration_id | timestamp | narration
#===========================================================

P09-20240623-153253-1 | 0.00s | Walking towards the draining rack so that I can remove the plates and utensils that have finished drying.
P09-20240623-153253-2 | 5.85s | Picking up the blender's pitcher using my left hand.
P09-20240623-153253-3 | 6.82s | Picking up the blender's pitcher cover using my right hand while my left hand holds the blender pitcher by its base.
P09-20240623-153253-4 | 8.60s | placing the blender's pitcher cover back in the draining rack so that I can pick up a measuring cup
P09-20240623-153253-5 | 9.36s | picking up a measuring cup using my right hand while holding the blender's pitcher in my left hand
P09-20240623-153253-6 | 9.94s | Inspecting the measuring cup to ensure it is dry while it is being held in my right hand while holding the blender's pitcher in my left hand.
P09-20240623-153253-7 | 10.84s | placing the measuring cup back in the draining rack using my right hand so that it can finish drying up while holding the blender's pitcher by its base in my left hand.
P09-20240623-153253-8 | 11.83s | Stacking the measuring cup and blender's pitcher in the draining rack using my left hand while my right hand still rests on the measuring cup to position it well.
P09-20240623-153253-9 | 12.45s | moving my right hand away from the measuring cup while I stack the blender's pitcher over the measuring cup in the draining rack to allow both to continue drying.
P09-20240623-153253-10 | 12.45s | Rearranging the draining rack by moving the blender's cover towards the blender pitcher using my right hand while my left hand still rests on the base of the blender's pitcher.
P09-20240623-153253-11 | 16.35s | placing my left hand over the transparent bowl in the draining rack to pick it up but deciding against picking it up.
P09-20240623-153253-12 | 17.08s | moving towards the sink to wash the dishes in the sink
P09-20240623-153253-13 | 17.52s | Reaching for the top with my left hand so that I can turn it on while reaching for the sponge with my right hand so that I can begin washing the plates.
P09-20240623-153253-14 | 17.89s | Picking up the sponge with my right hand while I turn on the top with my left hand so that I can begin washing.
P09-20240623-153253-15 | 19.00s | Using my left hand to turn the tap's nozzle towards the sponge while using my right hand to position the sponge underneath the running tap to wet it in preparation for washing.
P09-20240623-153253-16 | 19.57s | Turning off the tap using my left hand while I hold the sponge in my right hand.
P09-20240623-153253-17 | 20.21s | squeezing out the excess water from the wet sponge using my right hand while my left hand rests on the tap's handle
P09-20240623-153253-18 | 21.57s | Removing my left hand from the top handle after turning it off while my right hand still squeezes the sponge to drain the excess water from it.
P09-20240623-153253-19 | 21.79s | Transferring the sponge from my right hand to my left hand so that I can pick up the washing up liquid.
P09-20240623-153253-20 | 22.66s | picking up the washing up liquid using my right hand while my left hand holds a sponge so that I can pour some liquid on the sponge and begin washing.
P09-20240623-153253-21 | 23.36s | Using my right hand to tilt the bottle of washing up liquid over this sponge held in my right hand so that I can squirt some washing up liquid on this sponge.
P09-20240623-153253-22 | 23.46s | Using my left hand to bring the sponge closer to the tip of the washing up liquid while I use my right hand to scratch some washing up liquid onto the sponge so that I can begin washing the tissues in the sink.
P09-20240623-153253-23 | 24.07s | tilting the washing up liquid bottle back to the upright position after squirting some onto the sponge so that I can begin washing.
P09-20240623-153253-24 | 24.43s | placing the washing up liquid container back on the counter surface using my right hand while my left hand holds this sponge.
P09-20240623-153253-25 | 25.10s | Reaching for the white cup at the top of the plate pile in the sink with my right hand while my left hand holds the sponge so that I can wash the cup.
P09-20240623-153253-26 | 25.60s | Picking up the white mug using my right hand while picking up a fork using my left hand which also holds a sponge so that I can access the dishes underneath them.
P09-20240623-153253-27 | 27.13s | placing the mug down in the sink using my right hand while my left hand holds a sponge and a fork
P09-20240623-153253-28 | 27.60s | placing the fork in the mug using my left hand so that I can pick up other items from the scene.
P09-20240623-153253-29 | 28.47s | Reaching for the white bowl in the sink using my right hand while my left hand keeps the fork in the white mug so that I can check what items are underneath it
P09-20240623-153253-30 | 28.87s | lifting up the white bowl in the sink using my right hand while my left hand holds the sponge so that I can inspect what bowls are underneath it.
P09-20240623-153253-31 | 29.17s | placing the white bowl in the sink using my right hand
P09-20240623-153253-32 | 30.29s | reaching for the tablespoon in the green bowl in the sink using my right hand so that I can place it at another position in the sink
P09-20240623-153253-33 | 30.90s | Using my right hand to remove the tablespoon from the green bowl in the sink while my left hand holds a yellow sponge.
P09-20240623-153253-34 | 31.30s | Placing the tablespoon in the white mug using my right hand while my left hand holds a yellow sponge.
P09-20240623-153253-35 | 31.97s | Reaching for the green bowl in the pot in the sink using my right hand so that I can inspect what's beneath it.
P09-20240623-153253-36 | 32.39s | lifting up the green bowl in the pot in the sink with my right hand so that I can inspect what's beneath it and decide what to wash
P09-20240623-153253-37 | 33.01s | Inspecting the contents of the pot after using my right hand to lift the bowl out of the pot.
P09-20240623-153253-41 | 33.64s | holding the bowl in both my hands while my right hand also holds the yellow sponge so that I can begin scrubbing with this sponge.
P09-20240623-153253-38 | 33.73s | placing the green bowl back in the pot using my right hand so that I can pick up another bowl to wash
P09-20240623-153253-39 | 34.18s | transferring this sponge from my left hand to my right hand so that I can begin washing bowls
P09-20240623-153253-40 | 35.06s | Picking up the white bowl from the sink using my left hand while my right hand holds the sponge in preparation of washing.
P09-20240623-153253-42 | 35.46s | flipping the bowl in the upright position so that I can begin scrubbing its interior.
P09-20240623-153253-43 | 36.42s | Scrubbing the white bowl's interior using the sponge in my right hand while my left hand holds the bowl in place.
P09-20240623-153253-44 | 39.35s | flipping the bowl over so that I can scrub the exterior using this sponge.
P09-20240623-153253-45 | 40.35s | Scrubbing the bowl's exterior using the sponge held in my right hand while my left hand holds the bowl in place.
P09-20240623-153253-46 | 43.86s | flipping the bowl over in both my hands so that I can scrub the interior again.
P09-20240623-153253-47 | 45.05s | Scrubbing the interior of the bowl using the sponge in my right hand while my left hand holds the bowl in place.
P09-20240623-153253-48 | 46.57s | Flipping the bowl to its side using my left hand so that I can scrub the exterior of the bowl using my right hand.
P09-20240623-153253-49 | 47.34s | Scrubbing the exterior of the bowl using the sponge in my right hand while it is tilted by my left hand, which also holds it in place.
P09-20240623-153253-50 | 48.23s | Inspecting the washed bowl in both my hands while my right hand also holds the sponge so that I'm certain it's been cleaned properly.
P09-20240623-153253-51 | 48.72s | placing the washed bowl on the counter surface so that I can pick another item while using my left hand while holding the sponge in my right hand.
P09-20240623-153253-52 | 49.92s | Reaching for the green bowl in the pot in the sink using my left hand while holding the yellow sponge in my right hand so that I can wash the bowl.
P09-20240623-153253-53 | 50.63s | Using my left hand to flip the bowl as I lift it up so that the water containing the bowl will be drained into this pot while my right hand holds a sponge and moves towards the bowl to pick it up.
P09-20240623-153253-54 | 51.23s | Holding the green bowl in both my hands while I tilt it over to pour out the remnant water into the sink, while my right hand also holds a yellow sponge.
P09-20240623-153253-55 | 51.63s | flipping the bowl over in my left hand using my left hand while my right hand holds the sponge so that I can begin scrubbing the bowl with the sponge.
P09-20240623-153253-56 | 51.82s | scrubbing the inside of the green bowl using the yellow sponge held in my right hand while my left hand holds the bowl in place
P09-20240623-153253-57 | 55.47s | flipping the bowl over using both my hands so that I can wash the exterior
P09-20240623-153253-58 | 56.07s | Using this sponge in my right hand to scrub the exterior of the bowl held in my left hand.
P09-20240623-153253-59 | 66.19s | using my left hand to tilt the bowl back in upright position as I stack it on the counter surface alongside the previously washed bowl
P09-20240623-153253-60 | 67.12s | Reaching for a grey bowl in the sink using my right hand while my left hand finishes stacking the green bowl on top the white bowl on the counter surface.
P09-20240623-153253-61 | 67.56s | Tilting the grey bowl as I lift it up from its pot so that I can drain the water contents from the bowl while my right hand also holds a yellow sponge.
P09-20240623-153253-62 | 68.53s | transferring the bowl from my right hand to my left hand so that I can begin scrubbing
P09-20240623-153253-63 | 69.11s | scrubbing the inside of the bowl using the sponge held in my right hand while holding the grey bowl in my left hand
P09-20240623-153253-64 | 71.38s | Flipping the grey bowl around using both my hands so that I can scrub the exterior of the bowl.
P09-20240623-153253-65 | 72.31s | Scrubbing the exterior of the bowl with the sponge held in my right hand while holding the grey bowl in my left hand.
P09-20240623-153253-66 | 76.47s | Flipping the grey bowl in both my hands so that I can continue scrubbing the interior.
P09-20240623-153253-67 | 77.14s | scrubbing the interior of the grey bowl using the sponge held in my right hand while the bowl rests in my left hand
P09-20240623-153253-68 | 77.76s | placing the sponge in the sink so that I can turn on the tap using my right hand while my left hand holds the grey bowl
P09-20240623-153253-69 | 78.24s | reaching for the tap handle using my right hand so that I can turn it on while positioning the grey bowl underneath the tap in preparation to rinse it.
P09-20240623-153253-70 | 78.59s | Turning on the tap using my right hand while my left hand holds the grey bowl in place underneath the tap.
P09-20240623-153253-71 | 79.59s | Rinsing my right hand underneath the running tap while my left hand holds the grey bowl underneath the running tap as well
P09-20240623-153253-72 | 80.20s | Rinsing the grey bowl underneath the running tap with my right hand, moving water around to remove the soap's foam while my left hand holds the bowl and moves it around.
P09-20240623-153253-73 | 80.48s | Using both my hands to tilt the grey bowl to drain out all the water that accumulated in it from rinsing.
P09-20240623-153253-74 | 81.02s | flipping the grey bowl around using both my hands so that I can rinse the exterior and underneath it.
P09-20240623-153253-75 | 81.69s | Using both my hands to move the grey bowl about so that the water from the tap can rinse off the soap from its exterior.
P09-20240623-153253-76 | 82.24s | Using my right hand to move water about the exterior of the grey bowl to rinse it while my left hand holds the grey bowl in position underneath the running tap.
P09-20240623-153253-77 | 82.78s | Flipping the grey bowl in both my hands to continue rinsing the insides of the bowl.
P09-20240623-153253-78 | 83.18s | Rinsing the insides of the grey bowl with my right hand holding the bowl in place and my left hand moving the water around.
P09-20240623-153253-80 | 83.33s | Reaching for the green bowl on the counter surface using my right hand while my left hand holds the grey bowl upside down underneath the running tap stream.
P09-20240623-153253-79 | 83.43s | flipping the grey bowl upside down as I move it from my right hand to my left hand so that the water contained in the bowl is drained and it is ready or in position for stacking.
P09-20240623-153253-81 | 83.81s | Picking up the green bowl from the bowl stack on the counter surface using my right hand while my left hand holds the grey bowl tilted within the sink but away from the running tap.
P09-20240623-153253-82 | 84.28s | rinsing the green bowl underneath the running tap using just my right hand while my left hand holds the grey bowl
P09-20240623-153253-83 | 85.08s | Using my right hand to turn the green bowl about and to flip it so that water can rinse off the soap from every bit of it using just my right hand while my left hand holds the grey bowl over the sink.
P09-20240623-153253-84 | 85.81s | Using my right hand to swirl the water in the green bowl underneath the running tap so that all the soap foams contained in the bowl will be rinsed off properly.
P09-20240623-153253-85 | 85.93s | dropping the grey bowl in the sink so that I can use both my hands to properly rinse and inspect the green bowl.
P09-20240623-153253-86 | 87.15s | Flipping the green bowl using my right hand while my left hand holds the grey bowl so that I can empty the water in the green bowl and prepare it for stacking.
P09-20240623-153253-87 | 87.57s | flipping the green bowl in both my hands so that I can properly rinse the underneath and inspect it.
P09-20240623-153253-88 | 88.42s | Inspecting this stain underneath the green bowl by running my hand over it while holding the green bowl in my left hand under the running tap.
P09-20240623-153253-89 | 88.58s | Reaching for the washing up liquid bottle on the countertop using my right hand while holding the green bowl in my left hand so that I can scrub the exterior of the bowl.
P09-20240623-153253-90 | 89.11s | Flipping the washing up liquid container upside down as I bring it closer to the green bowl held upside down in my left hand so that I can squirt some washing up liquid onto the exterior of the bowl so that I can scrub it further.
P09-20240623-153253-91 | 89.48s | Squirting out some washing up liquid onto the exterior of the green bowl held in my left hand so that I can scrub the bowl.
P09-20240623-153253-92 | 91.00s | Reaching for the sponge in the sink using my right hand while my left hand holds the green bowl in place.
P09-20240623-153253-93 | 91.61s | rinsing the sponge underneath the running tap using my right hand so that I can scrub the bowl held in my left hand.
P09-20240623-153253-94 | 92.83s | Using my right hand to squeeze out the excess water from the sponge held under the running tap in order to get rid of the excess soap and water while holding a green bowl upside down in my left hand.
P09-20240623-153253-95 | 94.74s | turning off the tap using my right hand so that I can scrub the bowl held in my left hand.
P09-20240623-153253-96 | 95.42s | Using the sponge held in my right hand to scrub the bottom of the bowl held in my left hand.
P09-20240623-153253-97 | 101.77s | rotating the bowl in an anti-clockwise position using both my hands so that I can properly inspect it and continue scrubbing off this stain
P09-20240623-153253-98 | 102.59s | Using the sponge held in my right hand to scrub the stain from the bottom of the green bowl held in my left hand.
P09-20240623-153253-99 | 107.22s | Placing the sponge on the countertop using my right hand to free my right hand to turn on the tap and rinse the bowl while holding the green bowl in my left hand over the sink.
P09-20240623-153253-100 | 107.64s | turning on the tap using my right hand while holding the green bowl underneath the running tap in my left hand
P09-20240623-153253-101 | 107.79s | Using my right hand to move water about the green bowl to rinse it properly while holding the green bowl upside down in my left hand.
P09-20240623-153253-102 | 108.69s | Holding the green bowl in both my hands and moving it around so that the water of the tap can rinse it.
P09-20240623-153253-103 | 109.76s | Using my left thumb to scrub the exterior of the green bowl held in both my hands to inspect that this stain has been removed properly.
P09-20240623-153253-104 | 110.37s | lifting the green bowl up using my right hand to inspect that the oil stain has been cleaned entirely.
P09-20240623-153253-105 | 111.22s | Using my left hand to turn off the tap while I rotate the bowl in my right hand to inspect the stain.
P09-20240623-153253-106 | 111.65s | holding the bowl in both my hands while I continue to rotate it and inspect that it's been properly cleaned.
P09-20240623-153253-107 | 112.87s | reaching for the sponge using my right hand while holding the green bowl upside down on my left hand so that I can scrub it some more to get rid of the residual stain.
P09-20240623-153253-108 | 113.78s | Dropping the sponge held in my right hand and deciding against scrubbing the bowl again and reaching for the tap with my right hand instead while my left hand holds the bowl.
P09-20240623-153253-109 | 114.09s | turning on the tap using my right hand while holding the green bowl in my left hand so that I can rinse my right hand.
