P01-20240204-121042-1 | open the fridge
P01-20240204-121042-2 | close the drawer by pushing it in with the torso
P01-20240204-121042-3 | pick up the pot containing the weighed butter from the scale using the left hand holding it from its handle
P01-20240204-121042-4 | pull the bag out of the other bag by picking it up with the right hand
P01-20240204-121042-5 | put the bowl (the empty bowl) on the countertop
P01-20240204-121042-6 | pick a handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates
P01-20240204-121042-7 | close the cupboard door
P01-20240204-121042-8 | open the tap
P01-20240204-121042-9 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-10 | shake the hands on top of the sink to drop any excess liquid on the hands or the dates
P01-20240204-121042-11 | put the dates in the empty bowl
P01-20240204-121042-12 | pick another handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-13 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-14 | shake the hands on top of the sink to drop any excess liquid on the hands or the dates
P01-20240204-121042-15 | put the dates in the bowl
P01-20240204-121042-16 | pick a handful of dates from the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-17 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-18 | accidentally hit the water filter jug with the left hand causing it to move
P01-20240204-121042-19 | put the dates in the bowl
P01-20240204-121042-20 | pick up one date that has fallen on the floor by bending and picking it up with the right hand
P01-20240204-121042-21 | wash the date that has fallen on the floor using the water running from the tap with the right hand
P01-20240204-121042-22 | close the tap
P01-20240204-121042-23 | put the date in the bowl
P01-20240204-121042-24 | pick a handful of dates from the bag the bag by inserting the right hand into the bag and then getting a handful of dates.
P01-20240204-121042-25 | open the tap from the left handle
P01-20240204-121042-26 | wash the dates by holding them with both hands and rubbing them against one another under the tap
P01-20240204-121042-27 | close the tap
P01-20240204-121042-28 | put the dates in the bowl
P01-20240204-121042-29 | insert the hand inside the bag but decide not to pick any more dates
P01-20240204-121042-30 | move the bag on the counter top further from the edge using the left hand
P01-20240204-121042-31 | pick and crumple the other empty plastic bag
P01-20240204-121042-32 | put the empty plastic bag on the countertop next to the kettle
P01-20240204-121042-33 | open the upper cupboard
P01-20240204-121042-34 | pick a bowl from the second shelf from a pile of two bowls picking the bowl at the top using the right hand
P01-20240204-121042-35 | close the cupboard
P01-20240204-121042-36 | put the empty bowl on the counter top
P01-20240204-121042-37 | move both bowls the one with the dates with the right hand and the empty bowl with the left hand to the other countertop putting them closer to the food waste bin to help with removing the pits
P01-20240204-121042-38 | pick up one date from the bowl filled with dates using the right hand
P01-20240204-121042-39 | break the date in two by holding the date with both hands and then tearing the date apart into two pieces
P01-20240204-121042-40 | drop one half of the dates that does not contain the pit into the empty bowl
P01-20240204-121042-41 | remove the pit from the second half of the date
P01-20240204-121042-42 | throw the second half of the date into the bowl with pitted dates
P01-20240204-121042-43 | open the food waste bin
P01-20240204-121042-44 | throw the pit into the food waste bin
P01-20240204-121042-45 | pick up another date (unpitted) from the right hand bowl
P01-20240204-121042-46 | break the date in two by holding the date with both hands and tearing it apart
P01-20240204-121042-47 | throw the half that doesn't have a pit into the second bowl
P01-20240204-121042-48 | remove the pit from the date
P01-20240204-121042-49 | put the second half of the date pitted into the second bowl
P01-20240204-121042-50 | throw the pit into the food waste bin  from a distance
P01-20240204-121042-51 | pick up a date from the first bowl
P01-20240204-121042-52 | break the date into halves by holding the date with both hands and tearing it apart
P01-20240204-121042-53 | put one half into the second bowl
P01-20240204-121042-54 | remove the pit from the second half
P01-20240204-121042-55 | put the second half into the second bowl and throw the pit into the food waste bin at the same time
P01-20240204-121042-56 | pick up a date from the first bowl
P01-20240204-121042-57 | break the date into two halves by holding the date with both hands and tearing it apart
P01-20240204-121042-58 | remove the pit
