# Video: P05-20240427-151808
# Narrations: 63
# Format: narration_id | timestamp | narration
#===========================================================

P05-20240427-151808-1 | 2.08s | Close the door with my left hand whilst holding the plate in my right hand.
P05-20240427-151808-2 | 7.09s | Pick up the spoon from the dirty plate that I'm holding with my right hand.
P05-20240427-151808-3 | 7.56s | Pick up the dirty bowl from on top of the chopping board on the counter with my right hand whilst holding the spoon.
P05-20240427-151808-4 | 8.47s | Place the dirty plate on top of the chopping board on the counter with my left hand.
P05-20240427-151808-5 | 9.01s | Place the bowl on the counter with my right hand whilst holding the spoon.
P05-20240427-151808-6 | 9.69s | Place the spoon in the dirty cutlery bowl with my right hand.
P05-20240427-151808-7 | 13.69s | Pick up the bag of cashew nuts in the back of the counter with my right hand.
P05-20240427-151808-8 | 14.81s | Roll down the bag of cashew nuts with both hands.
P05-20240427-151808-9 | 16.85s | Open the drawer with my left hand.
P05-20240427-151808-10 | 17.85s | Place the cashew nuts in the bottom drawer with my right hand.
P05-20240427-151808-11 | 18.82s | Close the bottom drawer with my left hand.
P05-20240427-151808-12 | 19.75s | Pick up the spoon with my right hand.
P05-20240427-151808-13 | 20.51s | Scrape the rice on the bottom of the pan, using the spoon in my right hand, whilst holding the pan with my left hand.
P05-20240427-151808-14 | 24.99s | Spoon the rice from the pan into the other pan.
P05-20240427-151808-15 | 26.01s | Transfer the spoon to my left hand with the rice on it.
P05-20240427-151808-16 | 26.96s | Pick up the other spoon from the stir fry pan with my right hand.
P05-20240427-151808-17 | 27.82s | Scrape the rice off the spoon and into the stir fry pan.
P05-20240427-151808-18 | 30.36s | Scrape the rice off the bottom of the rice pan with my right hand.
P05-20240427-151808-19 | 32.32s | Scrape the rice off the spoon and into the stir fry pan.
P05-20240427-151808-20 | 34.82s | Scrape the bottom of the rice pan with my right hand.
P05-20240427-151808-21 | 43.57s | Scrape the rice off the spoon and into the stir fry pan.
P05-20240427-151808-22 | 44.71s | Shake the excess rice off the spoon and into the stir fry pan.
P05-20240427-151808-23 | 47.05s | Place the spoon down in the pan with my right hand.
P05-20240427-151808-24 | 51.32s | Pick up the lid from the can with my right hand.
P05-20240427-151808-25 | 52.13s | Place the lid on the stir fry pan, with my right hand, whilst holding the handle with my left hand.
P05-20240427-151808-26 | 53.56s | Pick up the dirty rice pan in my left hand and the dirty metal bowl, with my right hand, from the counter.
P05-20240427-151808-27 | 55.65s | Place the dirty metal bowl down on the counter with my right hand.
P05-20240427-151808-28 | 59.26s | Pick up the washing up brush from the sink because I want to make room to put the pan down in it.
P05-20240427-151808-29 | 60.05s | Put down the washing up brush towards the side of the sink.
P05-20240427-151808-30 | 61.04s | Put the pan down in the sink with my left hand.
P05-20240427-151808-31 | 61.46s | Pick up the washing up liquid with my right hand from the back of the sink.
P05-20240427-151808-32 | 62.58s | Squirt some washing up liquid into the dirty rice pan with my right hand.
P05-20240427-151808-33 | 65.21s | Place the washing up liquid at the back of the sink with my right hand.
P05-20240427-151808-34 | 67.01s | Pick up the kettle with my right hand.
P05-20240427-151808-35 | 67.67s | Pour the hot water from the kettle into the dirty rice pan in the sink with my right hand.
P05-20240427-151808-36 | 73.17s | Open the lid of the kettle by pressing the button with my right thumb.
P05-20240427-151808-37 | 73.83s | Turn on the cold tap with my left hand whilst holding the kettle under the tap with my right hand.
P05-20240427-151808-38 | 76.38s | Turn off the cold tap with my left hand.
P05-20240427-151808-39 | 79.64s | Turn on the cold tap, with my left hand, so I can fill up more of the pan.
P05-20240427-151808-40 | 80.71s | Put the kettle down on its base with my right hand.
P05-20240427-151808-41 | 81.97s | Close the lid of the kettle with my right hand.
P05-20240427-151808-42 | 82.71s | Turn on the kettle with my right hand.
P05-20240427-151808-43 | 84.16s | Turn off the cold tap that's filling up the rice pan with my left hand.
P05-20240427-151808-44 | 88.44s | Pick up the coconut milk in my left hand.
P05-20240427-151808-45 | 93.43s | Open the fridge door with my right hand whilst holding the coconut milk with my left hand.
P05-20240427-151808-46 | 94.72s | Place the coconut milk on the second shelf down in the fridge with my left hand.
P05-20240427-151808-47 | 96.63s | Close the fridge with my right hand.
P05-20240427-151808-48 | 99.79s | Pick up the sriracha with my right hand from the counter.
P05-20240427-151808-49 | 100.84s | Transfer the sriracha to my left hand.
P05-20240427-151808-50 | 101.41s | Pick up the soy sauce with my right hand from the counter.
P05-20240427-151808-51 | 103.06s | Open the cupboard with my left hand whilst holding the sriracha.
P05-20240427-151808-52 | 104.38s | Place the sriracha in the top shelf of the cupboard with my left hand.
P05-20240427-151808-53 | 105.11s | Place the soy sauce on the top shelf of the cupboard with my right hand.
P05-20240427-151808-54 | 106.09s | Close the cupboard with my right hand.
P05-20240427-151808-55 | 109.28s | Open the cupboard with my left hand.
P05-20240427-151808-56 | 110.35s | Put down the peanut butter on the top shelf of the cupboard with my right hand.
P05-20240427-151808-57 | 111.11s | Close the cupboard with my left hand.
P05-20240427-151808-58 | 111.98s | Pick up the fork with my left hand.
P05-20240427-151808-59 | 114.43s | Pick up the lid with my right hand.
P05-20240427-151808-60 | 115.26s | As it is clean, put it on the top shelf in the corner with my right hand.
P05-20240427-151808-61 | 122.00s | Open the cutlery drawer with my right hand.
P05-20240427-151808-62 | 123.29s | Place the fork back in the cutlery drawer because it was clean and not used.
P05-20240427-151808-63 | 124.02s | Close the cutlery drawer with my right hand.
