# Video: P05-20240424-131231
# Narrations: 17
# Format: narration_id | timestamp | narration
#===========================================================

P05-20240424-131231-1 | 4.43s | close door with right hand whilst holding dirty plate with left hand
P05-20240424-131231-2 | 7.11s | Pick up spoon from dirty plate that I'm holding in my left hand.
P05-20240424-131231-3 | 8.32s | Open dishwasher with right hand whilst holding the dirty spoon.
P05-20240424-131231-4 | 9.27s | Pull out the cutlery drawer of dishwasher with my right hand whilst holding the tablespoon.
P05-20240424-131231-5 | 11.26s | Place tablespoon in cutlery drawer of dishwasher
P05-20240424-131231-6 | 11.97s | Close cutlery drawer of dishwasher with right hand.
P05-20240424-131231-7 | 12.72s | Fully open dishwasher door with right hand by pushing it down.
P05-20240424-131231-8 | 13.71s | Open bottom drawer of dishwasher.
P05-20240424-131231-9 | 14.89s | Place the plate in bottom drawer of dishwasher using my left hand.
P05-20240424-131231-10 | 17.20s | Close the bottom drawer of the dishwasher with my right hand.
P05-20240424-131231-11 | 18.83s | Close the dishwasher door with my left hand.
P05-20240424-131231-12 | 20.40s | Pick up the empty pint glass from the back of the draining board with my right hand.
P05-20240424-131231-13 | 22.08s | Turn on the cold tap with my left hand whilst holding the empty pint glass under the tap with my right hand.
P05-20240424-131231-14 | 23.44s | turn off tap with my left hand because the cup is full.
P05-20240424-131231-15 | 24.75s | Drink water.
P05-20240424-131231-16 | 31.10s | Tip remaining water into the sink.
P05-20240424-131231-17 | 31.83s | Place empty pint glass at the back of the draining board with my right hand.
