# Video: P08-20240620-180825
# Narrations: 743
# Format: narration_id | timestamp | narration
#===========================================================

P08-20240620-180825-1 | 3.40s | With right hand, open refrigerator door.
P08-20240620-180825-2 | 4.17s | With right hand grab vegetables from the back of the refrigerator
P08-20240620-180825-3 | 11.26s | with right hand put yellow pepper down on kitchen counter
P08-20240620-180825-4 | 13.38s | With right hand, pull open drawer of refrigerator.
P08-20240620-180825-5 | 14.50s | With right hand, grab vegetables from refrigerator drawer and place in left hand to hold.
P08-20240620-180825-6 | 16.06s | close refrigerator drawer with left hand
P08-20240620-180825-7 | 17.81s | place bag of spinach down on kitchen counter with right hand
P08-20240620-180825-8 | 19.95s | With right hand reach the back of the refrigerator and grab more fruit and vegetables.
P08-20240620-180825-9 | 23.79s | with both hands put tupperware and cucumber down on kitchen counter
P08-20240620-180825-11 | 26.20s | Change mind and instead close freezer door with right hand and with left hand close refrigerator door.
P08-20240620-180825-10 | 26.28s | With right hand, open freezer door.
P08-20240620-180825-12 | 28.46s | With right hand reach the back of the kitchen counter and turn on the oven.
P08-20240620-180825-13 | 31.19s | with right hand turn oven knob to the left to turn on oven
P08-20240620-180825-14 | 32.51s | Turn 2nd knob on and change temperature.
P08-20240620-180825-15 | 33.71s | With thumb, click on screen of oven to adjust temperature.
P08-20240620-180825-16 | 34.46s | with right hand, open oven door.
P08-20240620-180825-17 | 35.00s | With right hand pull out baking trays from oven.
P08-20240620-180825-18 | 36.41s | Put baking trays in left hands and with right hand close oven door.
P08-20240620-180825-19 | 37.78s | With left hand, put baking trays down on kitchen stove.
P08-20240620-180825-20 | 38.49s | With index finger of right hand, tap on oven screen to adjust temperature.
P08-20240620-180825-21 | 40.60s | with right hand reach up and open top kitchen cabinet
P08-20240620-180825-22 | 41.84s | With both hands, grab air fryer and pull out of kitchen cabinet.
P08-20240620-180825-23 | 43.90s | With both hands put air fryer down on kitchen counter.
P08-20240620-180825-24 | 46.18s | With both hands, grab a plug of air fryer and place into outlet at the back of the kitchen counter.
P08-20240620-180825-25 | 48.90s | With right hand, pull forward, tupperware with vegetables.
P08-20240620-180825-26 | 49.86s | With both hands, place Tupperware and yellow pepper to the side of the kitchen counter to make space to prepare recipe.
P08-20240620-180825-27 | 51.09s | With left hand, pick up bag of spinach.
P08-20240620-180825-28 | 52.10s | with both hands move small plate with chicken pieces to the center of the kitchen counter
P08-20240620-180825-29 | 52.79s | With left hand grab kitchen scale from behind knife holder.
P08-20240620-180825-30 | 53.62s | With both hands, place kitchen scale down on kitchen counter.
P08-20240620-180825-31 | 54.10s | With thumb of left hand press kitchen scale on.
P08-20240620-180825-32 | 55.43s | With right hand, pull open the freezer door.
P08-20240620-180825-33 | 58.79s | With right hand, open freezer drawer.
P08-20240620-180825-34 | 60.02s | With right hand grab bag of frozen vegetables from freezer drawer.
P08-20240620-180825-35 | 60.69s | with left hand close freezer drawer
P08-20240620-180825-36 | 61.48s | with right hand put bag of frozen broccoli down on kitchen counter
P08-20240620-180825-37 | 64.20s | with right hand open kitchen cabinet
P08-20240620-180825-38 | 65.44s | with right hand pull out pot from inside kitchen cabinet
