# Video: P01-20240202-195538
# Narrations: 314
# Format: narration_id | timestamp | narration
#===========================================================

P01-20240202-195538-1 | 4.49s | Pick up the empty mug from the counter shelf using the left hand.
P01-20240202-195538-2 | 7.52s | Pour the remaining liquid in the mug into the sink by turning the mug upside down on top of the sink.
P01-20240202-195538-3 | 8.44s | Open the tap.
P01-20240202-195538-4 | 8.74s | Rinse the mug.
P01-20240202-195538-5 | 11.68s | Put down the mug on the countertop next to the thermal flask.
P01-20240202-195538-6 | 12.75s | Open the thermal flask by holding it with the left hand, holding the first lid with the right hand and rotating it counterclockwise to release it.
P01-20240202-195538-7 | 14.61s | put down the lid on the countertop.
P01-20240202-195538-8 | 15.40s | Open the second lid of the thermal flask by holding the plastic lid with the right hand and rotating it counterclockwise to release it.
P01-20240202-195538-9 | 20.25s | Pick up the strainer from the drainer.
P01-20240202-195538-10 | 21.90s | Hold the strainer with the left hand on top of the mug.
P01-20240202-195538-11 | 22.30s | Pick up the thermal flask.
P01-20240202-195538-12 | 23.36s | Position the thermal flask on top of the strainer.
P01-20240202-195538-13 | 23.87s | Pour the remaining liquid from the thermal flask into the strainer so that the tea leaves are caught by the strainer and the liquid passes through into the mug.
P01-20240202-195538-14 | 28.76s | Move the strainer from the mug to the flask to support it so no liquid drops on the surface.
P01-20240202-195538-15 | 32.15s | put down the thermal flask and the strainer on top with the tea leaves inside it.
P01-20240202-195538-16 | 35.10s | Check the temperature of the tea by touching the mug from the outside using both hands.
P01-20240202-195538-17 | 36.06s | Pick up the strainer with the left hand and the thermal flask with the right hand.
P01-20240202-195538-18 | 38.21s | Put down the thermal flask on the countertop.
P01-20240202-195538-19 | 39.17s | Open the lid of the food waste bin.
P01-20240202-195538-20 | 39.66s | Turn the strainer on top of the food waste bin upside down to throw the tea leaves in the strainer.
P01-20240202-195538-21 | 39.96s | Hit the strainer a few times on the rim of the food waste bin to remove any remaining tea leaves.
P01-20240202-195538-22 | 40.89s | Hold the food waste bin with the left hand instead of the right hand, so to free the right hand.
P01-20240202-195538-23 | 41.46s | Pick up the thermal flask from the countertop.
P01-20240202-195538-24 | 41.85s | Turn the thermal flask on top of the food waste bin to get rid of the tea leaves that are still in the flask.
P01-20240202-195538-25 | 42.18s | Shake the thermal flask on top of the food waste bin to remove any remaining tea leaves inside it.
P01-20240202-195538-26 | 44.50s | Look into the inside of the thermal flask to check if there are any remaining tea leaves.
P01-20240202-195538-27 | 45.09s | Turn the thermal flask upside down and continue shaking it on top of the food waste bin to get rid of the remaining tea leaves inside it.
P01-20240202-195538-28 | 45.96s | Close the lid of the food waste bin.
P01-20240202-195538-29 | 47.26s | Put down the thermal flask on the countertop next to the sink and put the strainer on the top of it.
P01-20240202-195538-30 | 49.20s | pick up the strainer.
P01-20240202-195538-31 | 49.78s | Position the strainer under the nozzle of the tap.
P01-20240202-195538-32 | 49.99s | Open the tap using the right handle.
P01-20240202-195538-33 | 50.57s | Rinse the strainer.
P01-20240202-195538-34 | 51.04s | Close the tap.
P01-20240202-195538-35 | 51.47s | Put the strainer on the drainer.
P01-20240202-195538-36 | 52.64s | pick up the thermal flask from the countertop.
P01-20240202-195538-37 | 53.57s | Position the thermal flask under the nozzle of the tap.
P01-20240202-195538-38 | 53.84s | Open the tap using the right handle.
P01-20240202-195538-39 | 54.42s | Fill the thermal flask with water.
P01-20240202-195538-40 | 54.79s | Close the tap.
P01-20240202-195538-41 | 55.71s | Turn the flask upside down to empty the water inside it so as to rinse it.
P01-20240202-195538-42 | 58.05s | Position the thermal flask again in the upright direction under the nozzle of the tap.
P01-20240202-195538-43 | 58.90s | Open the tap.
P01-20240202-195538-44 | 59.28s | Rinse the thermal flask.
P01-20240202-195538-45 | 62.03s | Put the thermal flask down on the trainer.
P01-20240202-195538-46 | 62.98s | Pick up the candy floss bowl from the drainer.
P01-20240202-195538-47 | 66.71s | put the candy floss bowl on the candy floss machine sliding it down to fit in place.
P01-20240202-195538-48 | 71.88s | rotate the candy floss bowl clockwise to lock it in place
P01-20240202-195538-49 | 76.11s | Pick up the disk from the drainer.
P01-20240202-195538-50 | 77.20s | Shake the disk on top of the sink to remove any excess liquid.
P01-20240202-195538-51 | 79.45s | Put the disk on the center of the candy floss machine, ensuring it fits in place.
P01-20240202-195538-52 | 85.16s | Rotate the disk slightly to ensure it has fit rightly in its place.
P01-20240202-195538-53 | 86.74s | pick up the plug at the end of the cord of the candyfloss machine.
P01-20240202-195538-54 | 88.86s | Pick up the candy floss machine from the countertop.
P01-20240202-195538-55 | 91.20s | Open the cupboard using the left hand holding the handle.
P01-20240202-195538-56 | 92.17s | put the candy floss machine on the upper shelf of the cupboard, sliding it inside to fit in place.
P01-20240202-195538-57 | 95.32s | Push the remaining cord and plug of the candy floss machine to the left of the machine on the upper shelf of the cupboard using the right hand.
P01-20240202-195538-58 | 99.79s | Pick up a bowl from the second shelf of the cupboard.
P01-20240202-195538-59 | 101.39s | Close the cupboard.
P01-20240202-195538-60 | 102.22s | Put down that bowl on the surface top.
P01-20240202-195538-61 | 103.46s | Pick up the mug with tea from its handle using the right hand, also supporting the mug with the left hand.
P01-20240202-195538-62 | 105.14s | Drink some of the tea in the mug.
P01-20240202-195538-63 | 108.34s | Put down the mug on the countertop.
P01-20240202-195538-64 | 111.69s | Open the fridge.
P01-20240202-195538-65 | 113.43s | Pick up a plastic container of soup from the second shelf of the fridge using the left hand. The container is only partly filled, so has been opened before.
P01-20240202-195538-66 | 117.90s | put down the container on the countertop.
P01-20240202-195538-67 | 118.25s | Open the container by holding the container with the left hand, holding the lid with the right hand, and pulling it upwards to open it.
P01-20240202-195538-68 | 118.98s | Put down the lid on the countertop using the right hand.
P01-20240202-195538-69 | 121.12s | Open the drawer.
P01-20240202-195538-70 | 122.52s | Pick up a spoon from the cutlery tray in the drawer.
P01-20240202-195538-71 | 123.49s | Close the drawer.
P01-20240202-195538-72 | 125.03s | Mix the content of the container, holding the container with the left hand and mixing the components with the spoon in the right hand, moving it inside the container left to right and right to left.
P01-20240202-195538-73 | 126.45s | Pick up the container.
P01-20240202-195538-74 | 126.94s | Hold the container positioned on top of the bowl.
P01-20240202-195538-75 | 127.47s | Scoop one spoon from the container using the spoon.
P01-20240202-195538-76 | 128.00s | drop the scoop of soup from the spoon into the bowl.
P01-20240202-195538-77 | 129.13s | Scoop the soup a second time using the spoon. The container is being held using the left hand and the right hand is holding the spoon.
P01-20240202-195538-78 | 130.43s | Drop the second scoop into the bowl.
P01-20240202-195538-79 | 131.08s | Tilt the container slightly.
P01-20240202-195538-80 | 132.69s | Slide the remaining content of the soup from the container into the bowl using the spoon to slide the content into the bowl by positioning the container on top of the bowl.
P01-20240202-195538-81 | 133.43s | Tilt the container up again.
P01-20240202-195538-82 | 134.53s | Gather the remaining content of the soup using the spoon inside the container.
P01-20240202-195538-83 | 136.23s | Tilt the container down positioning it on top of this bowl.
P01-20240202-195538-84 | 136.80s | slide the remaining content of the container, the soup, into the bowl using the spoon to slide this content, holding the container with the left hand on top of the bowl and sliding the content with the spoon using the right hand so it falls into the bowl.
P01-20240202-195538-85 | 140.18s | Dip the spoon inside the bowl and move it slightly. Hitting the base of the bowl, you can hear the sound of the spoon hitting the bowl.
P01-20240202-195538-86 | 141.02s | Again gather the remaining content inside the container using the spoon.
P01-20240202-195538-87 | 143.13s | Position the container on top of the bowl and slide the last remaining bits of the soup from the container into the bowl, using the spoon to slide this content.
P01-20240202-195538-88 | 145.22s | Dip the spoon into the bowl, moving its contents slightly.
P01-20240202-195538-89 | 146.73s | Hit the spoon on the side of the bowl to remove any excess soup that is on the spoon.
P01-20240202-195538-90 | 148.46s | place the spoon on top of the lid that is on the countertop so that no spots are on the surface. So any dirt that is on the spoon will fall onto the lid as opposed to the surface.
