# Video: P01-20240202-171220
# Narrations: 192
# Format: narration_id | timestamp | narration
#===========================================================

P01-20240202-171220-1 | 3.55s | Pick up tissue from inside the plate on the countertop using the right hand.
P01-20240202-171220-2 | 4.49s | Open the lid of the trash bin by flipping it.
P01-20240202-171220-3 | 4.79s | Throw the tissue in the trash bin using the right hand.
P01-20240202-171220-4 | 5.19s | close the trash bin using the right hand.
P01-20240202-171220-5 | 5.79s | Pick up the plate with a fork inside it from the countertop using the left hand. This action is off screen.
P01-20240202-171220-6 | 8.76s | put down the plate with the fork inside it, inside the sink, under the nozzle of the tap.
P01-20240202-171220-7 | 10.36s | Open the tap using the right handle with the right hand so that water flows into the plate to soak it.
P01-20240202-171220-8 | 11.80s | Close the tap. This action is off screen but you can hear it.
P01-20240202-171220-9 | 15.80s | Pick up the scale from the countertop using both hands.
P01-20240202-171220-10 | 17.89s | On top of the sink, brush your hand over the face of the scale to clear any remaining food parts on it.
P01-20240202-171220-11 | 21.71s | put down the scale on top of the microwave on the shelf using the right hand.
P01-20240202-171220-12 | 24.44s | Pick up the ladle from the countertop using the right hand.
P01-20240202-171220-13 | 24.84s | pick up an empty plate from the countertop next to the hob using the left hand.
P01-20240202-171220-14 | 26.23s | Put down the plate on the counter top the left.
P01-20240202-171220-15 | 27.31s | Position the ladle under the tap, passing it to the left hand to rinse it.
P01-20240202-171220-16 | 27.59s | Open the tap using the right handle.
P01-20240202-171220-17 | 28.04s | Rinse the ladle.
P01-20240202-171220-18 | 29.22s | Close the tap.
P01-20240202-171220-19 | 29.65s | put the ladle on the drainer using the left hand.
P01-20240202-171220-20 | 32.65s | Pick up the empty pan with a spatula inside it from the hob using the right hand.
P01-20240202-171220-21 | 34.86s | Open the tap.
P01-20240202-171220-22 | 35.21s | soak the pan by adding water inside it.
P01-20240202-171220-23 | 37.07s | Put down the pan in the sink while water is flowing inside it to continue soaking it.
P01-20240202-171220-24 | 38.77s | Close the tap, this action is off-screen but you can hear it.
P01-20240202-171220-25 | 41.94s | Pick up one empty plate using the left hand and another empty plate using the right hand.
P01-20240202-171220-26 | 44.07s | pass the plate to the left hand to open the tap with right hand.
P01-20240202-171220-27 | 45.01s | Rinse the first plate.
P01-20240202-171220-28 | 45.84s | Rinse the second plate.
P01-20240202-171220-29 | 49.22s | Close the tap.
P01-20240202-171220-30 | 51.21s | open the dishwasher door by pulling it outwards and down.
P01-20240202-171220-31 | 52.19s | Slide the drawer of the dishwasher using the left hand to open it.
P01-20240202-171220-32 | 53.79s | Put both plates in the dishwasher's drawer.
P01-20240202-171220-33 | 56.49s | Pick up a knife from the countertop using the right hand.
P01-20240202-171220-34 | 56.94s | Close the dishwasher's drawer using the left hand by pushing it back in place.
P01-20240202-171220-35 | 58.14s | Open the cutlery drawer in the dishwasher using the left hand by pulling it out.
P01-20240202-171220-36 | 59.09s | Put the knife into the dishwasher's cutlery drawer.
P01-20240202-171220-37 | 59.71s | Close the dishwasher's cutlery drawer.
P01-20240202-171220-38 | 60.13s | close the dishwasher's door by pulling it up using the left hand.
P01-20240202-171220-39 | 62.01s | pick up the pan with a strainer inside it from the hob using the left hand.
P01-20240202-171220-40 | 64.04s | Put the pan with the strainer to the right of the sink.
P01-20240202-171220-41 | 64.74s | Hold the right glove using the left hand to wear it.
P01-20240202-171220-42 | 65.33s | Slide the right hand into the right glove to wear it.
P01-20240202-171220-43 | 66.79s | Hold the left glove with the right hand wearing the glove so as to wear it.
P01-20240202-171220-44 | 67.41s | Slide the left hand into the left glove to wear it.
P01-20240202-171220-45 | 69.30s | pick up the sponge.
P01-20240202-171220-46 | 70.27s | Pick up the bottle of washing up liquid.
P01-20240202-171220-47 | 70.92s | Flip the bottle of the washing up liquid upside down, positioning it on top of the sponge, to retrieve some of the washing up liquid.
P01-20240202-171220-48 | 71.57s | Pour washing up liquid from the washing up liquid bottle on the sponge.
P01-20240202-171220-49 | 72.42s | Put down the washing up liquid bottle.
P01-20240202-171220-50 | 73.31s | Squeeze the sponge.
P01-20240202-171220-51 | 74.22s | Pick up the strainer.
P01-20240202-171220-52 | 75.02s | Lather the strainer using the sponge, moving it multiple motions back and forth on the surface of the strainer.
P01-20240202-171220-53 | 76.98s | Put down the sponge.
P01-20240202-171220-54 | 77.56s | Open the tap.
P01-20240202-171220-55 | 78.06s | Rinse the strainer, using the right hand to direct water to the various parts of the strainer surface.
P01-20240202-171220-56 | 80.54s | Close the tap.
P01-20240202-171220-57 | 81.14s | Put the strainer on the drainer.
P01-20240202-171220-58 | 82.31s | pick up the pan so as to clean it.
P01-20240202-171220-59 | 83.23s | pick up the sponge
P01-20240202-171220-60 | 83.66s | lather the pan, moving the sponge in circular motions around all its base and sides.
P01-20240202-171220-61 | 86.53s | Put down the sponge.
P01-20240202-171220-62 | 87.31s | Open the tap.
P01-20240202-171220-63 | 87.64s | Rinse the pan.
P01-20240202-171220-64 | 92.36s | Close the tap.
P01-20240202-171220-65 | 92.70s | Empty the pan from any remaining liquid by turning it upside down.
P01-20240202-171220-66 | 93.72s | Put the pan on the drainer.
P01-20240202-171220-67 | 94.95s | pick up another soaked pan from the sink, tilting it to pour the soaking liquid and emptying it.
P01-20240202-171220-68 | 97.46s | pick up sponge.
P01-20240202-171220-69 | 97.94s | Lather the pan by moving a sponge in circular motion around its base and sides.
P01-20240202-171220-70 | 101.48s | Put down the sponge.
P01-20240202-171220-71 | 101.87s | Open the tap.
P01-20240202-171220-72 | 102.33s | rinse the pan
P01-20240202-171220-73 | 106.43s | Turn off the tap.
P01-20240202-171220-74 | 106.50s | Flip the pan to empty any remaining water.
P01-20240202-171220-75 | 107.94s | Put down the pan on the drainer.
P01-20240202-171220-76 | 110.84s | opened partly the dishwasher's door, which is already slightly open. Open it a little bit further.
P01-20240202-171220-77 | 111.46s | place the left hand with the glove under the edge of the countertop, using the right hand that's holding a sponge, wipe the surface, so as any crumbs from the surface will fall into the left hand to discard it. Wiping the surface in long straight motion, multiple times, until most of the empty surface has been wiped.
P01-20240202-171220-78 | 122.06s | Put down the second sponge.
P01-20240202-171220-79 | 123.04s | open the lid of the food waste bin.
P01-20240202-171220-80 | 124.01s | Brush the left hand using the right hand to remove any crumbs from the hand that have been collected from the surface.
P01-20240202-171220-81 | 125.04s | Close the food waste bin this action is mostly off screen.
P01-20240202-171220-82 | 126.04s | Open the tap.
P01-20240202-171220-83 | 126.68s | Rinse the glove on both hands by scrubbing both hands jointly.
P01-20240202-171220-84 | 127.29s | Close the tap.
P01-20240202-171220-85 | 127.79s | Remove the left glove by holding it with the right hand and sliding the left hand out.
P01-20240202-171220-86 | 128.89s | Remove the right glove.
P01-20240202-171220-87 | 129.70s | Place both gloves on the rim of the sink.
P01-20240202-171220-88 | 130.93s | Close the dishwasher's door, using both hands by pushing it in.
P01-20240202-171220-89 | 132.35s | Open the upper cupboard using the left hand holding the handle.
P01-20240202-171220-90 | 133.30s | From the top shelf pick up the candy floss machine by sliding it outwards, using the right hand.
P01-20240202-171220-91 | 135.39s | With the left hand, pick up the disk of the candy floss machine.
P01-20240202-171220-92 | 138.50s | Put down the candy floss on the counter top.
P01-20240202-171220-93 | 141.22s | Flip the disk and look at its base to know how to put it on the machine.
P01-20240202-171220-94 | 141.93s | Slide the disk in the center of the candy floss machine, locking it in place.
P01-20240202-171220-95 | 150.42s | Plug the cord of the Candy Floss machine into the socket using the right hand.
P01-20240202-171220-96 | 152.70s | Slightly move the food processing bin on the surface top using both hands.
P01-20240202-171220-97 | 156.26s | Rotate the candy floss 90 degrees to better access its buttons.
P01-20240202-171220-98 | 159.04s | Check all the parts of the candy floss machine are locked in place, its wall and the disk, by touching them.
P01-20240202-171220-99 | 160.34s | Switch on the Candy Floss Machine by pressing the button to its side.
P01-20240202-171220-100 | 161.74s | Switch off the candyfloss machine by pressing the button back to check again.
P01-20240202-171220-101 | 165.32s | rotate slightly the candy floss bowl to better lock it in place using both hands, rotating it slightly clockwise.
P01-20240202-171220-102 | 166.96s | Turn on the Candyfloss machine having checked its components, again by pressing the button to its side.
P01-20240202-171220-103 | 168.68s | open the lower cupboard using the right hand holding the handle.
P01-20240202-171220-104 | 170.11s | Pick up a long wooden stick from the top shelf of the cupboard.
P01-20240202-171220-105 | 171.51s | put down the wooden stick on the countertop next to the candy floss machine.
P01-20240202-171220-106 | 172.57s | pick up a plastic bag containing sugar granules inside from the top shelf of the cupboard.
P01-20240202-171220-107 | 174.18s | Close the cupboard.
P01-20240202-171220-108 | 175.04s | Put down the plastic bag on top of the chopping board on the countertop next to the candy floss machine.
P01-20240202-171220-109 | 177.89s | Touch the glove then release it.
P01-20240202-171220-110 | 180.45s | Pick up the water filter jug from the countertop using the right hand, holding it from its handle.
P01-20240202-171220-111 | 181.43s | Pour water from the water filter jug into a glass sitting on the countertop.
P01-20240202-171220-112 | 184.28s | Put down the water filter jug.
P01-20240202-171220-113 | 185.10s | Pick up the glass filled with water from the countertop.
P01-20240202-171220-114 | 185.91s | Drink water from the glass.
P01-20240202-171220-115 | 186.98s | Close the cupboard using the left hand holding its handle.
P01-20240202-171220-116 | 191.74s | Put down the empty glass on the countertop.
P01-20240202-171220-117 | 193.09s | Tear one paper from the top of the notepad that contains the measurements.
P01-20240202-171220-118 | 197.05s | Open the lid of the trash bin. This action occurs off the screen.
P01-20240202-171220-119 | 198.02s | throw the paper this action occurs of the screen. Close the lid of the trash bin. This action occurs off the screen.
P01-20240202-171220-120 | 199.79s | Pick up a plastic bag containing bagels from the countertop.
P01-20240202-171220-121 | 200.64s | Fold the plastic bag.
P01-20240202-171220-122 | 202.08s | Open the bread box using the left hand by sliding its door.
P01-20240202-171220-123 | 202.51s | Put the plastic bag containing donuts inside the bread box.
P01-20240202-171220-124 | 203.06s | Close the bread box.
P01-20240202-171220-125 | 209.08s | Pick up the kettle from its base using the right hand and also at the same time press on the button to open its lid using the thumb of the right hand.
P01-20240202-171220-126 | 210.66s | Move the kettle from the right hand to the left hand.
P01-20240202-171220-127 | 211.45s | Position the kettle under the nozzle of the tap and open the tap by turning the right handle.
P01-20240202-171220-128 | 211.96s | Fill the kettle with water.
P01-20240202-171220-129 | 214.36s | Close the tap.
P01-20240202-171220-130 | 215.29s | Close the lid of the kettle.
P01-20240202-171220-131 | 216.35s | Put down the kettle back on its base.
P01-20240202-171220-132 | 218.20s | Switch on the kettle by pressing the button at the bottom of the base using the left hand.
P01-20240202-171220-133 | 220.00s | Open the top cupboard using the right hand by holding its handle.
P01-20240202-171220-134 | 221.55s | Move a mug at the bottom shelf of the cupboard without picking it up.
P01-20240202-171220-135 | 223.50s | Move a glass at the second shelf of the cupboard without picking it up, so as to access what's behind it.
P01-20240202-171220-136 | 224.72s | Pick up a black thermos flask from the second shelf of the cupboard.
P01-20240202-171220-137 | 226.60s | Open the cover of the flask by holding the flask using the left hand, holding the cover with the right hand, turning the cover counterclockwise to release it and then lifting it up.
P01-20240202-171220-138 | 227.05s | Put the cover on the counter top.
P01-20240202-171220-139 | 227.60s | Pick up the second cover using the right hand.
P01-20240202-171220-140 | 228.00s | Put the second cover on the counter top.
P01-20240202-171220-141 | 229.37s | Close the cupboard. This action is mostly off-screen.
P01-20240202-171220-142 | 231.00s | Pick up a small gold color container from the shelf to the right. The container has a red cover. This container contains loose tea.
P01-20240202-171220-143 | 231.95s | Open the container by holding it with the left hand and then pulling its cover with the right hand.
P01-20240202-171220-144 | 236.15s | pour the content of the container, which is the loose tea, from the container into the thermo flask by flipping the container upside down and then hitting on its back to ensure all the tea, loose tea, has been emptied.
P01-20240202-171220-145 | 244.24s | Put down the empty container on the countertop.
P01-20240202-171220-146 | 245.09s | Open the trash bin's lid.
P01-20240202-171220-147 | 245.18s | Throw the container's cover in the trash, using the right hand.
P01-20240202-171220-148 | 245.78s | Close the trash bin's lid using the right hand. This action is mostly off-screen.
P01-20240202-171220-149 | 248.60s | Check that the candy floss machine is still working by checking the electric heater that is turning yellow to indicate it's now hot.
P01-20240202-171220-150 | 257.29s | Open the cupboard.
P01-20240202-171220-151 | 258.41s | Pick up a mug from the bottom shelf by holding it with the left hand from its bottom. The mug is upside down.
P01-20240202-171220-152 | 259.72s | Turn the mug to face upwards.
P01-20240202-171220-153 | 260.74s | Put down the mug on the counter top.
P01-20240202-171220-154 | 262.74s | Open the drawer.
P01-20240202-171220-155 | 264.15s | Pick up a small plastic strainer from the cutlery drawer using the right hand.
P01-20240202-171220-156 | 265.04s | Close the drawer.
P01-20240202-171220-157 | 266.05s | Place the strainer on top of the mug. The strainer will be used to separate the tea from the loose tea.
P01-20240202-171220-158 | 268.47s | pick up the kettle from its base.
P01-20240202-171220-159 | 278.80s | Pour the hot water from the kettle into the thermo flask.
P01-20240202-171220-160 | 284.49s | Return the kettle to its base.
P01-20240202-171220-161 | 286.56s | Hold the thermoflask using the left hand.
P01-20240202-171220-162 | 286.65s | Pick up the second lid from the countertop using the right hand.
P01-20240202-171220-163 | 286.92s | Close the thermo flask by holding it with the left hand, placing and rotating the second lid using the right hand, clockwise, until it's secured.
P01-20240202-171220-164 | 290.46s | Switch off the candy floss machine by pressing the button to its side.
P01-20240202-171220-165 | 291.58s | Pick up the plastic bag, contain the candyfloss sugar from the countertop.
P01-20240202-171220-166 | 292.14s | Open the tie in the bag by holding both sides with both hands and pulling it away until the tie is unknoted.
P01-20240202-171220-167 | 302.28s | Scoop sugar from the bag using the scoop spoon that is inside the bag.
P01-20240202-171220-168 | 302.64s | Several attempts are made to fill the scoop spoon fully.
P01-20240202-171220-169 | 307.32s | check the amount inside the scoop spoon only to realize it's not enough.
P01-20240202-171220-170 | 308.22s | Scoop more from the candyfloss sugar inside the bag using the scoop spoon.
P01-20240202-171220-171 | 315.87s | pour the candy floss sugar from the scoop spoon into the center of the disk of the candy floss machine carefully.
P01-20240202-171220-172 | 316.67s | Shake the scoop spoon on top of the disk to ensure any remaining loose sugar falls off.
P01-20240202-171220-173 | 319.08s | Switch on the candy floss machine by pressing its button using the left hand.
P01-20240202-171220-174 | 320.63s | Open the plastic bag.
P01-20240202-171220-175 | 322.58s | Throw the scoop spoon into the plastic bag.
P01-20240202-171220-176 | 324.67s | Close the plastic bag by tying the knot again, holding both sides with both hands and then establishing a knot.
P01-20240202-171220-177 | 332.67s | Fold the plastic bag.
P01-20240202-171220-178 | 333.89s | Open the cupboard.
P01-20240202-171220-179 | 334.70s | Put the plastic bag on the top shelf of the cupboard using the right hand.
P01-20240202-171220-180 | 335.34s | Close the cupboard.
P01-20240202-171220-181 | 336.99s | Pick up the wooden stick from the counter top, holding it from one of its ends.
P01-20240202-171220-182 | 345.45s | Pick up a knife from the chopping board on the countertop.
P01-20240202-171220-183 | 346.86s | open the dishwasher's door using the left hand by sliding it out.
P01-20240202-171220-184 | 348.11s | Open the cutlery drawer of the dishwasher by sliding it outwards.
P01-20240202-171220-185 | 349.50s | Put down the knife in the cutlery drawer of the dishwasher.
P01-20240202-171220-186 | 351.18s | Close the cutlery drawer of the dishwasher by sliding it in.
P01-20240202-171220-187 | 352.31s | Close the dishwasher
P01-20240202-171220-188 | 402.27s | Position the wooden stick on top of the candy floss machine, moving it across the disk in the center of the machine to start gathering the candy floss.
P01-20240202-171220-189 | 404.05s | Roll and move the wooden stick on top of the candy floss machine to gather the candy floss. The stick is being rolled or rotated clockwise using both hands and is moved across the bowl of the candy floss machine.
P01-20240202-171220-190 | 501.92s | Switch off the candy floss machine by pressing the button to its side using the right hand.
P01-20240202-171220-191 | 506.11s | Pull a strand of candy floss from the candy floss pile that's gathered on top of the wooden stick, using the right hand. The candy floss is being held from the wooden stick using the left hand and a strand of candy floss is being pulled with the right hand.
P01-20240202-171220-192 | 509.08s | Eat the candy floss!
