# Video: P04-20240414-175337
# Narrations: 210
# Format: narration_id | timestamp | narration
#===========================================================

P04-20240414-175337-1 | 2.36s | With my right hand, pick up the long spatula from the spoon that is on the plate next to the kitchen sink.
P04-20240414-175337-2 | 3.52s | While holding the dosa pan with the left hand, use the spatula in the right hand to scratch the surface of the dosa pan in order to remove the dosa that is stuck to the pan.
P04-20240414-175337-3 | 8.09s | With the left hand, lift up the pan that is on the electric hob.
P04-20240414-175337-4 | 9.89s | Put down the long spatula in the right hand on top of the wooden chopping board below.
P04-20240414-175337-5 | 10.37s | With the right hand, pick up the wooden spatula from the wooden chopping board below.
P04-20240414-175337-6 | 11.82s | Use the wooden spatula in the right hand to scratch the surface of the pan and transfer the bits of dosa from the pan to the plate on the countertop.
P04-20240414-175337-7 | 17.76s | With the left hand, put down the pan on top of the left burner of the electric hob.
P04-20240414-175337-8 | 18.09s | Put down the wooden spatula in the right hand on the plate next to the kitchen sink.
P04-20240414-175337-9 | 20.77s | With the left forefinger, press the buttons on the electric hob that configure the heat setting.
P04-20240414-175337-10 | 24.73s | With the left hand, touch the cup that contains olive oil.
P04-20240414-175337-11 | 25.81s | With the left hand, pick up the cup that contains ghee from the wooden chopping board.
P04-20240414-175337-12 | 26.11s | With the right hand, pick up the spoon from the cup held by the left hand.
P04-20240414-175337-13 | 27.04s | Tap the spoon on the rim of the cup so as to drop any bits of ghee back into the cup held by the left hand.
P04-20240414-175337-14 | 28.06s | Pick up the olive oil cup from the wooden chopping board with the left hand.
P04-20240414-175337-15 | 29.49s | With the spoon in the right hand pick up some olive oil from the cup.
P04-20240414-175337-16 | 30.51s | With the spoon in the right hand drizzle olive oil on the pan over the electric hob.
P04-20240414-175337-17 | 31.67s | Use the back of the spoon's tip to spread the olive oil on the surface of the pan in order to grease it before pouring the next dosa.
P04-20240414-175337-18 | 34.65s | With the left hand, pick up the cup that contains olive oil from the wooden chopping board below.
P04-20240414-175337-19 | 35.61s | With the spoon in the right hand, pick up some more olive oil.
P04-20240414-175337-21 | 37.26s | With the back side of the spoon, spread the olive oil on the pan using the right hand.
P04-20240414-175337-20 | 37.54s | Drizzle the olive oil in the spoon held by the right hand on top of the dosa pan.
P04-20240414-175337-22 | 46.01s | Shake the spoon over the pan in order to drop any bits of olive oil on the spoon back into the pan.
P04-20240414-175337-23 | 46.76s | Put down the spoon back into the cup of olive oil with the right hand.
P04-20240414-175337-24 | 47.32s | Push the cup containing the olive oil a bit further on the wooden chopping board with the left hand.
P04-20240414-175337-25 | 48.78s | With the right hand, pick up the ladle that is resting in the bowl of dosa batter.
P04-20240414-175337-26 | 49.17s | Shake the ladle over the bowl of dosa batter in order to drop the excess dosa batter stuck to the ladle.
P04-20240414-175337-27 | 51.63s | Put the ladle back in the bowl of dosa batter with the right hand.
P04-20240414-175337-28 | 52.09s | Hover the right palm over the pan on the electric hob in order to check whether it is heated up to the appropriate temperature.
P04-20240414-175337-29 | 55.12s | With the right thumb, press the plus button on the electric hob in order to turn up the heat from 600 to 800 in value.
P04-20240414-175337-30 | 59.79s | Tap the fingers on the counter top with both hands while waiting for the dosa pan to heat up.
P04-20240414-175337-31 | 62.87s | With the right hand, pick up the spoon that is in the olive oil cup.
P04-20240414-175337-32 | 63.88s | Put down the spoon back in the olive oil cup with the right hand.
P04-20240414-175337-33 | 67.87s | With the left hand, hold the bowl containing the dosa batter and, with the right hand, pick up the ladle that is in the bowl.
P04-20240414-175337-34 | 68.62s | Slightly invert the bowl with the left hand so that it is easier to pick up the dosa batter with the ladle held by the right hand.
P04-20240414-175337-35 | 69.40s | With the ladle in the right hand, mix the dosa batter so as to obtain a consistent batter.
P04-20240414-175337-36 | 73.28s | Put down the ladle back in the bowl of dosa batter.
P04-20240414-175337-37 | 73.97s | With the right index finger, press the minus shaped button on the electric hob in order to turn down the heat.
P04-20240414-175337-38 | 75.23s | Using the right hand, pick up the ladle in the bowl again.
P04-20240414-175337-39 | 75.53s | Pick up and pour back some dosa batter in the bowl with the ladle in the right hand.
P04-20240414-175337-40 | 77.65s | Pick up some dosa batter with the ladle in the right hand and tap the rim of the bowl in order to drop excess batter stuck to the back of the ladle back into the bowl so as not to waste it.
P04-20240414-175337-41 | 81.49s | Pour the dosa batter at the center of the hot pan on the electric hob.
P04-20240414-175337-42 | 83.87s | Use the back of the ladle to spread the dosa batter on the pan while moving in a circular fashion.
P04-20240414-175337-43 | 92.38s | Put the ladle back in the bowl of dosa batter with the right hand.
P04-20240414-175337-44 | 94.25s | With the left hand, pick up the cup containing the olive oil and hold the spoon in it with the right hand.
P04-20240414-175337-45 | 95.63s | Pick up some olive oil with the spoon in the right hand.
P04-20240414-175337-46 | 96.81s | Drizzle the olive oil around the dosa with the spoon held in the right hand.
P04-20240414-175337-47 | 99.38s | Pick up some more olive oil with the spoon held in the right hand from the cup held by the left hand.
P04-20240414-175337-48 | 100.34s | Use the spoon in the right hand to drizzle olive oil around the edges of the dosa in order to make it crispy as well as make it easy to pick the dosa from the pan later.
P04-20240414-175337-49 | 103.42s | Pick up some more olive oil with the spoon in the right hand.
P04-20240414-175337-50 | 104.66s | Drizzle olive oil around the edges of the dosa with a spoon in the right hand.
P04-20240414-175337-51 | 106.50s | Shake the spoon over the dosa so as to pour out any last remaining bits of oil on the dosa below.
P04-20240414-175337-52 | 108.04s | Put down the spoon in the cup held by the left hand.
P04-20240414-175337-53 | 108.69s | Put down the cup of olive oil with the left hand on top of the wooden chopping board.
P04-20240414-175337-54 | 109.39s | With the left hand, pick up the bowl containing the ghee that is next to the bowl of olive oil.
P04-20240414-175337-55 | 110.26s | With the right hand, pick up the spoon from the bowl of olive oil.
P04-20240414-175337-56 | 110.72s | With the spoon in the right hand, pick up some ghee from the cup held in the left hand.
P04-20240414-175337-57 | 112.07s | Drizzle the ghee over the dosa on the pan with the spoon held in the right hand. This will give it flavour as well as help it become crispy.
P04-20240414-175337-58 | 113.62s | Pick up some more ghee with the spoon held in the right hand.
P04-20240414-175337-59 | 114.63s | Drizzle the ghee over the dosa on the hot pan.
P04-20240414-175337-60 | 116.71s | Put down the spoon back in the cup held in the left hand.
P04-20240414-175337-61 | 116.93s | Put down the cup held in the left hand back on the wooden chopping board below.
P04-20240414-175337-62 | 118.04s | With the right hand, pick up the long spatula that was resting on the wooden chopping board below.
P04-20240414-175337-63 | 119.87s | Hold the pan by its handle with the left hand and slightly reposition it on the electric hob for effective heat transfer.
P04-20240414-175337-64 | 128.30s | Transfer the long spatula from the right hand to the left hand.
P04-20240414-175337-65 | 129.31s | With the right hand, pick up the wooden spatula.
P04-20240414-175337-66 | 130.72s | Use the wooden spatula in the right hand to scratch the surface of the long spatula held by the left hand so that we can remove bits of dosa stuck on the long spatula from previous batches of dosa making.
P04-20240414-175337-67 | 134.55s | Put down the wooden spatula back on the plate next to the kitchen sink using the right hand.
P04-20240414-175337-68 | 135.61s | Transfer the long spatula from the left hand to the right hand.
P04-20240414-175337-69 | 142.19s | Transfer the long spatula from the right hand to the left hand.
P04-20240414-175337-70 | 142.70s | With the right hand, pick up the wooden spatula from the plate on the right, again.
P04-20240414-175337-71 | 143.47s | Use the wooden spatula in the right hand to remove the bits of dosa stuck to the edge of the long spatula held by the left hand.
P04-20240414-175337-72 | 147.44s | Put down the wooden spatula with the right hand on top of the plate next to the kitchen sink.
P04-20240414-175337-73 | 148.36s | Transfer the long spatula from the left hand to the right hand.
P04-20240414-175337-74 | 149.26s | Use the spatula in the right hand to carefully start picking up the dosa by sliding it under the dosa on the pan across all edges.
P04-20240414-175337-75 | 169.46s | The dosa breaks at one edge, so use the left hand to pick up and put down the broken piece of dosa back on the pan.
P04-20240414-175337-76 | 174.70s | Again start sliding under the dosa with the spatula in the right hand so as to try and pick it up in one piece.
P04-20240414-175337-77 | 182.43s | With the left hand, press the minus button on the electric hob so as to turn down the heat In order to prevent the dosa getting burnt while slowly trying to pick it up.
P04-20240414-175337-78 | 183.50s | Continue sliding under the dosa with the spatula in the right hand carefully across all sides.
P04-20240414-175337-79 | 210.63s | Fold one part of the dosa neatly using the spatula in the right hand.
P04-20240414-175337-80 | 212.56s | Continue sliding under the remaining part of the dosa with the spatula in the right hand.
P04-20240414-175337-81 | 224.87s | Use the left hand to pick up a small part of the dosa on the pan.
P04-20240414-175337-82 | 226.67s | Put down the part of the dosa as it breaks with the left hand.
P04-20240414-175337-83 | 228.12s | Continue trying to pick up the dosa as it is breaking down on the pan with the spatula in the right hand.
P04-20240414-175337-84 | 238.54s | Lift up the dosa pan with the left hand from the burner of the electric hob as the dosa failed and is completely broken.
P04-20240414-175337-85 | 241.08s | Use the spatula in the right hand to transfer the broken dosa from the pan held by the left hand to the large white plate on the counter top below.
P04-20240414-175337-86 | 242.46s | Scratch the surface of the pan with the spatula in the right hand to remove the bits of dosa stuck to the pan.
P04-20240414-175337-87 | 251.73s | Place the dosa pan back on the electric hob with the left hand.
P04-20240414-175337-88 | 253.65s | Place the spatula on the dosa pan with the right hand.
P04-20240414-175337-89 | 254.62s | Use the left index finger to press the power button of the electric hob in order to turn off the heat.
P04-20240414-175337-90 | 255.60s | Transfer the long spatula from the right hand to the left hand.
P04-20240414-175337-91 | 257.86s | With the right hand, pick up the wooden spatula that is on the large plate next to the kitchen sink.
P04-20240414-175337-92 | 259.60s | Use the wooden spatula in the right hand to scratch the spatula in the left hand so as to remove the bits of dosa stuck to it.
P04-20240414-175337-93 | 261.84s | Put down the spatula in the left hand on top of the plate next to the kitchen sink.
P04-20240414-175337-94 | 263.96s | Hold the dosa pan in place using the left hand by grabbing its handle.
P04-20240414-175337-95 | 265.03s | Use the wooden spatula in the right hand to scratch the surface of the pan in order to remove the bits that are stuck on it by applying some force.
P04-20240414-175337-96 | 283.21s | Lift up the hot pan from the electric hob using the left hand.
P04-20240414-175337-97 | 286.36s | With the spatula in the right hand, scratch and transfer the broken dosa pieces on the pan to the small plate containing the previously made broken dosas.
P04-20240414-175337-98 | 290.32s | Put the dosa pan back on the electric hob with the left hand.
P04-20240414-175337-99 | 292.46s | Transfer the wooden spatula from the right hand to the left hand.
P04-20240414-175337-100 | 293.58s | With the right hand, pick up the knife that is on the plate next to the kitchen sink.
P04-20240414-175337-101 | 293.84s | Use the knife in the right hand to scratch and remove bits of dosa stuck to the tip of the wooden spatula held by the left hand.
P04-20240414-175337-102 | 294.88s | Put down the knife with the right hand back on the plate next to the kitchen sink.
P04-20240414-175337-103 | 295.78s | With the right hand, put down the wooden spatula on the plate next to the kitchen sink.
P04-20240414-175337-104 | 297.91s | With the right hand, open the drawer revealing the utensils.
P04-20240414-175337-105 | 299.28s | With the right hand, pick up another flat spatula from the drawer below.
P04-20240414-175337-106 | 300.29s | Transfer the spatula from the right hand to the left hand.
P04-20240414-175337-107 | 301.46s | With the right hand, pick up another long spatula from the drawer below.
P04-20240414-175337-108 | 303.69s | Put down the spatula in the left hand and pick it back up from the drawer.
P04-20240414-175337-109 | 307.21s | Put down the spatula in the right hand back in the drawer.
P04-20240414-175337-110 | 307.52s | Transfer the spatula in the left hand to the right hand.
