# Video: P03-20240216-090759
# Narrations: 241
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240216-090759-1 | 3.63s | Pick up dirty plates from the table with both hands.
P03-20240216-090759-2 | 7.46s | Put down plates in the right hand onto the counter top.
P03-20240216-090759-3 | 9.53s | pick up dish washer brush
P03-20240216-090759-4 | 10.39s | Remove crumbs from plate by brushing the plate.
P03-20240216-090759-5 | 12.78s | put down dishwasher brush
P03-20240216-090759-6 | 13.28s | Move plate from left hand to right hand.
P03-20240216-090759-7 | 13.83s | Open dishwasher by pulling the door.
P03-20240216-090759-8 | 15.80s | Pull bottom dishwasher rack.
P03-20240216-090759-9 | 17.15s | Slide the dirty plate into the bottom dishwasher rack.
P03-20240216-090759-10 | 19.31s | Pick up dishwasher brush and dirty plate with both hands.
P03-20240216-090759-11 | 20.60s | Remove crumbs from dirty plates by brushing the plate with a dishwasher brush.
P03-20240216-090759-12 | 23.73s | slide in dirty plate into the bottom dishwasher rack.
P03-20240216-090759-13 | 26.30s | pick up a knife from the sink
P03-20240216-090759-14 | 27.18s | Brush knife with the dishwasher brush to remove spread from the blade.
P03-20240216-090759-15 | 31.00s | Insert knife into the dishwasher cutlery tray.
P03-20240216-090759-16 | 36.82s | Pick up jug and cap with both hands.
P03-20240216-090759-17 | 40.53s | Put down jug on counter top.
P03-20240216-090759-18 | 42.29s | Place cup onto the dishwasher bottom rack.
P03-20240216-090759-19 | 45.69s | Push dishwasher bottom rack.
P03-20240216-090759-20 | 52.29s | Pick up oat milk from the table.
P03-20240216-090759-21 | 53.18s | Move oat milk from right hand to left hand.
P03-20240216-090759-22 | 53.80s | Open the fridge by pulling its door.
P03-20240216-090759-23 | 55.05s | Place oatmeal carton into the fridge door bottom shelf.
P03-20240216-090759-24 | 55.95s | Close fridge.
P03-20240216-090759-25 | 57.75s | move glass out of the tea towels since I will need to pick up the tea towels later.
P03-20240216-090759-26 | 58.99s | Pick up used tissue from the tea towel.
P03-20240216-090759-27 | 59.61s | Quickly fold both tea towels with both hands.
P03-20240216-090759-28 | 60.98s | Fold and pick up right hand side tea towel from the table.
P03-20240216-090759-29 | 64.60s | Open general waste rubbish bin by lifting the lid.
P03-20240216-090759-30 | 65.14s | Throw used tissue into the rubbish bin while holding the lid open.
P03-20240216-090759-31 | 65.33s | Close rubbish bin lid.
P03-20240216-090759-32 | 68.66s | Unfold the T-Towel on top of the sink to drop all the crumbs into the sink.
P03-20240216-090759-33 | 69.29s | Shake tea towel while holding it above the sink to make sure all crumbs are removed from the tea towel.
P03-20240216-090759-34 | 71.76s | throw tea towel in the air to fold it
P03-20240216-090759-35 | 74.91s | Fold tea towel in mid air
P03-20240216-090759-36 | 77.30s | Lay the towel on kitchen countertop to continue and finish folding.
P03-20240216-090759-37 | 81.16s | Slide chair under the table.
P03-20240216-090759-38 | 82.89s | Slide chair under the table.
P03-20240216-090759-39 | 84.80s | Pick up tea towel from the table and fold it.
P03-20240216-090759-41 | 88.45s | Shake the tea towel to make sure all crumbs are removed.
P03-20240216-090759-40 | 88.59s | Unfold tea towel above the sink to drop crumbs from the tea towel into the sink.
P03-20240216-090759-42 | 92.60s | Fold tea towel in midair
P03-20240216-090759-43 | 94.62s | Lay tea towel on the kitchen top to finish folding the tea towel.
P03-20240216-090759-44 | 97.27s | Place tea towels on top of each other and pick up both tea towels in order to put them away.
P03-20240216-090759-45 | 99.34s | open bottom cupboard
P03-20240216-090759-46 | 100.73s | Put tea towels into the cupboard.
P03-20240216-090759-47 | 102.00s | close bottom cupboard
P03-20240216-090759-48 | 105.17s | open cupboard under the sink
P03-20240216-090759-49 | 106.32s | grab food waste bin inside the cupboard under the sink.
P03-20240216-090759-50 | 107.10s | Lift food waste bin handle in order to open the lid.
P03-20240216-090759-51 | 108.78s | lift food waste bin lid
P03-20240216-090759-52 | 109.66s | Get food waste bin bag out of the food waste bin
P03-20240216-090759-53 | 111.28s | Close cupboard under the sink.
P03-20240216-090759-54 | 112.18s | Place food waste bag into the sink and open the bag in order to throw coffee grounds later.
P03-20240216-090759-55 | 114.75s | Pick up coffee filter with coffee grounds.
