# Video: P03-20240217-130208
# Narrations: 69
# Format: narration_id | timestamp | narration
#===========================================================

P03-20240217-130208-1 | 1.50s | Open fridge.
P03-20240217-130208-2 | 3.23s | Pick up plate containing Spanish omelettes leftover.
P03-20240217-130208-3 | 5.88s | Close fridge.
P03-20240217-130208-4 | 9.53s | Put plate on kitchen countertop.
P03-20240217-130208-5 | 11.59s | Remove cling film from plate by slowly peeling the film with both hands.
P03-20240217-130208-6 | 14.69s | Open cupboard.
P03-20240217-130208-7 | 15.27s | Pick up plate from cupboard.
P03-20240217-130208-8 | 16.53s | Close cupboard.
P03-20240217-130208-9 | 18.66s | Put down plate on cupboard.
P03-20240217-130208-10 | 19.86s | Open dishwasher.
P03-20240217-130208-11 | 21.00s | Take knife from dishwasher.
P03-20240217-130208-12 | 21.78s | Close dishwasher.
P03-20240217-130208-13 | 22.85s | With my right hand move my knife on Spanish omelette as to measure the portion of the slice I want to cut. With my left hand I hold the plate.
P03-20240217-130208-14 | 25.25s | Move cling film to get it out of the way.
P03-20240217-130208-15 | 27.05s | Slice Spanish omelette while holding plate.
P03-20240217-130208-16 | 28.67s | Detach omelette slice by moving it with the knife.
P03-20240217-130208-17 | 30.52s | Remove bit of Spanish omelette from tip of the knife.
P03-20240217-130208-18 | 34.84s | pick up plate
P03-20240217-130208-19 | 35.61s | Put down plate on counter
P03-20240217-130208-20 | 36.70s | Pick up Spanish omelette slice by lifting it with the knife.
P03-20240217-130208-21 | 37.98s | Put the Spanish omelette slice onto the plate.
P03-20240217-130208-22 | 39.14s | Move bits of Spanish omelette along the plate.
P03-20240217-130208-23 | 41.52s | Pick up plate.
P03-20240217-130208-24 | 42.53s | Move bits of Spanish omelette onto the plate with the tip of the knife.
P03-20240217-130208-25 | 43.84s | Put down plate
P03-20240217-130208-26 | 44.78s | Put knife onto plate and counter.
P03-20240217-130208-27 | 45.43s | Move knife onto the counter.
P03-20240217-130208-28 | 48.18s | Grab plate with cling film.
P03-20240217-130208-29 | 49.70s | Pick up plate.
P03-20240217-130208-30 | 51.84s | Open microwave by pushing the button.
P03-20240217-130208-31 | 52.90s | Put a plate containing Spanish omelette inside the microwave oven.
P03-20240217-130208-32 | 55.60s | Close microwave oven.
P03-20240217-130208-33 | 57.04s | Push button to heat Spanish omelette.
P03-20240217-130208-34 | 59.07s | Pick up plate.
P03-20240217-130208-35 | 62.68s | Open fridge.
P03-20240217-130208-36 | 64.00s | Put plate on to fridge shelf.
P03-20240217-130208-37 | 67.56s | Close fridge
P03-20240217-130208-38 | 70.31s | Open cupboard
P03-20240217-130208-39 | 71.83s | Pick up tea towel.
P03-20240217-130208-40 | 74.23s | Close cupboard
P03-20240217-130208-41 | 76.57s | Move bread along the table.
P03-20240217-130208-42 | 78.12s | Put down tea towel on table.
P03-20240217-130208-43 | 78.70s | Lift tea towel to unfold it.
P03-20240217-130208-44 | 79.81s | Unfold tea towel
P03-20240217-130208-45 | 81.37s | Lay tea towel on table.
P03-20240217-130208-46 | 82.54s | Move flower pot to make room for tea towel
P03-20240217-130208-47 | 84.19s | Move bread along the table to make room for the tea towel.
P03-20240217-130208-48 | 84.53s | with my left hand slide tea towel on the table, with my right hand pick up the other tea towel.
P03-20240217-130208-49 | 85.78s | Lift tea towel to unfold it.
P03-20240217-130208-50 | 86.70s | Unfold tea towel.
P03-20240217-130208-51 | 89.75s | Lay tea towel on table
P03-20240217-130208-52 | 90.87s | Move glass along the table to make room for the tea towel.
P03-20240217-130208-53 | 91.79s | Slide tea towel across the table.
P03-20240217-130208-54 | 92.76s | Pull the tea towel from its long edge so the two tea towels are aligned.
P03-20240217-130208-55 | 95.09s | Pick up glass.
P03-20240217-130208-56 | 95.64s | Pot glass on top of tea towel.
P03-20240217-130208-57 | 99.21s | Open cupboard
P03-20240217-130208-58 | 100.00s | Pick up glass from cupboard.
P03-20240217-130208-59 | 100.84s | Close cupboard.
P03-20240217-130208-60 | 103.46s | Put glass on tea towel.
P03-20240217-130208-61 | 106.14s | Open Cupboard.
P03-20240217-130208-62 | 108.26s | Get forks from cutlery tray
P03-20240217-130208-63 | 110.98s | Close cupboard
P03-20240217-130208-64 | 113.38s | Put first fork onto first tea towel.
P03-20240217-130208-65 | 114.09s | Put second fork on second tea towel.
P03-20240217-130208-66 | 118.35s | Open microwave open by pushing the button.
P03-20240217-130208-67 | 119.77s | Pick up plate from microwave oven.
P03-20240217-130208-68 | 121.48s | Close microwave oven.
P03-20240217-130208-69 | 126.31s | Put down plate between the two tea towels.
